Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
25259,25259,0,89986,-100676
25260,25260,0,68924,-115626
25261,25261,0,68924,-115626
25262,25262,0,68924,-115626
25263,25263,0,68924,-115626
25264,25264,0,57167,-113104
25265,25265,0,57167,-113104
25266,25266,0,57167,-113104
25267,25267,0,57167,-113104
25268,25268,0,51085,-111047
25269,25269,0,51085,-111047
25270,25270,0,51085,-111047
25271,25271,0,51085,-111047
25272,25272,0,61131,-95929
25273,25273,0,61131,-95929
25274,25274,0,61131,-95929
25275,25275,0,61131,-95929
25276,25276,0,73089,-89310
25277,25277,0,73089,-89310
25278,25278,0,73089,-89310
25279,25279,0,73089,-89310
25280,25280,0,89629,-62035
25281,25281,0,89629,-62035
25282,25282,0,89629,-62035
25283,25283,0,89629,-62035
25284,25284,0,108855,-45230
25285,25285,0,108855,-45230
25286,25286,0,108855,-45230
25287,25287,0,108855,-45230
25288,25288,0,108855,-45230
25289,25289,0,108855,-45230
25290,25290,0,108855,-45230
25291,25291,0,108855,-45230
25292,25292,0,116609,32917
25293,25293,0,116609,32917
25294,25294,0,116609,32917
25295,25295,0,116609,32917
25296,25296,0,110629,56969
25297,25297,0,110629,56969
25298,25298,0,110629,56969
25299,25299,0,110629,56969
25300,25300,0,105461,72345
25301,25301,0,105461,72345
25302,25302,0,105461,72345
25303,25303,0,105461,72345
25304,25304,0,102081,62903
25305,25305,0,102081,62903
25306,25306,0,102081,62903
25307,25307,0,102081,62903
25308,25308,0,97904,68255
25309,25309,0,97904,68255
25310,25310,0,97904,68255
25311,25311,0,97904,68255
25312,25312,0,98284,56128
25313,25313,0,98284,56128
25314,25314,0,98284,56128
25315,25315,0,98284,56128
25316,25316,0,114035,30820
25317,25317,0,114035,30820
25318,25318,0,114035,30820
25319,25319,0,114035,30820
25320,25320,0,120441,-7466
25321,25321,0,120441,-7466
25322,25322,0,120441,-7466
25323,25323,0,120441,-7466
25324,25324,0,120441,-7466
25325,25325,0,120441,-7466
25326,25326,0,120441,-7466
25327,25327,0,120441,-7466
25328,25328,0,97897,-98369
25329,25329,0,97897,-98369
25330,25330,0,97897,-98369
25331,25331,0,97897,-98369
25332,25332,0,39464,-131072
25333,25333,0,39464,-131072
25334,25334,0,39464,-131072
25335,25335,0,39464,-131072
25336,25336,0,-10052,-131072
25337,25337,0,-10052,-131072
25338,25338,0,-10052,-131072
25339,25339,0,-10052,-131072
25340,25340,0,-64738,-118300
25341,25341,0,-64738,-118300
25342,25342,0,-64738,-118300
25343,25343,0,-64738,-118300
